,orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight,productID,unitPrice_orders,quantity,discount,companyName_customers,contactName,contactTitle,city_customer,country_customer,categoryID,categoryName,description,productName,quantityPerUnit,unitPrice_products,discontinued,employeeName,title,city_employees,country_employees,reportsTo,companyName_shippers,Mon_Day_orderDate,Year_Quarter_orderDate,weeks_of_year_orderDate,Year_Month_orderDate,days_difference_required_shipped,Sales,freight_ratio_of_sales,percentile_unitPrice_orders,country_customer_rank_sales,companyName_customers_rank_Sales,product_rank_sales,employee_rank_sales,city_customer_rank_freight,day_order,month_order,quarter_order,year_order,weekofyear_order
10,1027,WARTH,1,2013-08-01,2013-08-29,2013-08-02,1,136.54,43,36.8,25,0.0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Ipoh Coffee,16 - 500 g tins,46.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Aug-Thu,2013-Q3,2013-W30,2013-Aug,27,919.9999809265137,14.841,<0.9%,15,28,12,3,24,Thursday,August,3,2013,30
11,10991,QUICK,1,2015-04-01,2015-04-29,2015-04-07,1,38.51,7,15.0,20,0.2,Quick Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Outback Lager,24 - 355 ml bottles,15.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Apr-Wed,2015-Q2,2015-W13,2015-Apr,22,240.0,16.046,<0.4%,2,1,39,3,3,Wednesday,April,2,2015,13
12,1085,VICTE,1,2015-01-23,2015-03-06,2015-01-30,1,49.19,7,15.0,30,0.15,Victuailles En Stock,Mary Saveley,Sales Agent,Lyon,France,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Outback Lager,24 - 355 ml bottles,15.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jan-Fri,2015-Q1,2015-W03,2015-Jan,35,382.5,12.86,<0.6%,5,42,39,3,36,Friday,January,1,2015,03
13,10894,SAVEA,1,2015-02-18,2015-03-18,2015-02-20,1,116.13,75,7.75,120,0.05,Save A Lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Rhönbräu Klosterbier,24 - 0.5 l bottles,7.75,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Feb-Wed,2015-Q1,2015-W07,2015-Feb,26,883.4999656677246,13.144,<0.9%,1,3,49,3,1,Wednesday,February,1,2015,07
14,10604,FURIB,1,2014-07-18,2014-08-15,2014-07-29,1,7.46,76,18.0,10,0.1,Furia Bacalhau E Frutos Do Mar,Lino Rodriguez,Sales Manager,Lisboa,Portugal,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Lakkaliköri,500 ml,18.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Fri,2014-Q3,2014-W28,2014-Jul,17,161.9999885559082,4.605,<0.3%,18,49,26,3,33,Friday,July,3,2014,28
15,10928,GALED,1,2015-03-05,2015-04-02,2015-03-18,1,1.36,76,18.0,5,0.0,Galería Del Gastrónomo,Eduardo Saavedra,Marketing Manager,Barcelona,Spain,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Lakkaliköri,500 ml,18.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Thu,2015-Q1,2015-W09,2015-Mar,15,90.0,1.511,<0.2%,16,85,26,3,67,Thursday,March,1,2015,09
16,10991,QUICK,1,2015-04-01,2015-04-29,2015-04-07,1,38.51,76,18.0,90,0.2,Quick Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Lakkaliköri,500 ml,18.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Apr-Wed,2015-Q2,2015-W13,2015-Apr,22,1296.000051498413,2.971,<1.0%,2,1,26,3,3,Wednesday,April,2,2015,13
17,10405,LINOD,1,2014-01-06,2014-02-03,2014-01-22,1,34.82,3,8.0,50,0.0,Lino Delicateses,Felipe Izquierdo,Owner,I  de Margarita,Venezuela,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Aniseed Syrup,12 - 550 ml bottles,10.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jan-Mon,2014-Q1,2014-W01,2014-Jan,12,400.0,8.705,<0.6%,7,24,71,3,30,Monday,January,1,2014,01
18,10591,VAFFE,1,2014-07-07,2014-07-21,2014-07-16,1,55.92,3,10.0,14,0.0,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Aniseed Syrup,12 - 550 ml bottles,10.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Mon,2014-Q3,2014-W27,2014-Jul,5,140.0,39.943,<0.3%,12,27,71,3,22,Monday,July,3,2014,27
19,10258,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51,5,17.0,65,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Chef Anton S Gumbo Mix,36 boxes,21.35,1,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Wed,2013-Q3,2013-W28,2013-Jul,22,884.0000247955322,15.895,<0.9%,3,2,59,3,2,Wednesday,July,3,2013,28
20,10952,ALFKI,1,2015-03-16,2015-04-27,2015-03-24,1,40.42,6,25.0,16,0.05,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Grandma S Boysenberry Spread,12 - 8 oz jars,25.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Mon,2015-Q1,2015-W11,2015-Mar,34,380.0,10.637,<0.6%,2,57,53,3,54,Monday,March,1,2015,11
21,10618,MEREP,1,2014-08-01,2014-09-12,2014-08-08,1,154.68,6,25.0,70,0.0,Mère Paillarde,Jean Fresnière,Marketing Assistant,Montréal,Canada,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Grandma S Boysenberry Spread,12 - 8 oz jars,25.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Aug-Fri,2014-Q3,2014-W30,2014-Aug,35,1750.0,8.839,<1.0%,9,9,53,3,12,Friday,August,3,2014,30
22,10351,ERNSH,1,2013-11-11,2013-12-09,2013-11-20,1,162.33,44,15.5,77,0.05,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Gula Malacca,20 - 2 kg bags,19.45,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Nov-Mon,2013-Q4,2013-W45,2013-Nov,19,1133.8249559402466,14.317,<0.9%,3,2,40,3,2,Monday,November,4,2013,45
23,10469,WHITC,1,2014-03-10,2014-04-07,2014-03-14,1,60.18,44,15.5,2,0.15,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Gula Malacca,20 - 2 kg bags,19.45,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Mon,2014-Q1,2014-W10,2014-Mar,24,26.350000381469727,228.387,<0.1%,1,10,40,3,13,Monday,March,1,2014,10
24,10921,VAFFE,1,2015-03-03,2015-04-14,2015-03-09,1,176.48,63,43.9,40,0.0,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Vegie Spread,15 - 625 g jars,43.9,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Tue,2015-Q1,2015-W09,2015-Mar,36,1756.0000610351562,10.05,<1.0%,12,27,24,3,22,Tuesday,March,1,2015,09
25,10351,ERNSH,1,2013-11-11,2013-12-09,2013-11-20,1,162.33,65,16.8,10,0.05,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Nov-Mon,2013-Q4,2013-W45,2013-Nov,19,159.59999084472656,101.711,<0.3%,3,2,30,3,2,Monday,November,4,2013,45
26,10671,FRANR,1,2014-09-17,2014-10-15,2014-09-24,1,30.34,65,21.05,12,0.0,France Restauration,Carine Schmitt,Marketing Manager,Nantes,France,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Sep-Wed,2014-Q3,2014-W37,2014-Sep,21,252.59999084472656,12.011,<0.5%,5,68,30,3,55,Wednesday,September,3,2014,37
27,10401,RATTC,1,2014-01-01,2014-01-29,2014-01-10,1,12.51,65,16.8,20,0.0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jan-Wed,2014-Q1,2014-W00,2014-Jan,19,335.99998474121094,3.723,<0.5%,1,4,30,3,7,Wednesday,January,1,2014,00
28,1069,HANAR,1,2014-10-02,2014-10-30,2014-10-03,1,15.8,77,13.0,30,0.25,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Original Frankfurter Grüne Soße,12 boxes,13.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Oct-Thu,2014-Q4,2014-W39,2014-Oct,27,292.5,5.402,<0.5%,4,6,42,3,11,Thursday,October,4,2014,39
29,10886,HANAR,1,2015-02-13,2015-03-13,2015-03-02,1,4.99,77,13.0,40,0.0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Original Frankfurter Grüne Soße,12 boxes,13.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Feb-Fri,2015-Q1,2015-W06,2015-Feb,11,520.0,0.96,<0.7%,4,6,42,3,11,Friday,February,1,2015,06
30,10587,QUEDE,1,2014-07-02,2014-07-30,2014-07-09,1,62.52,77,13.0,20,0.0,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Original Frankfurter Grüne Soße,12 boxes,13.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Wed,2014-Q3,2014-W26,2014-Jul,21,260.0,24.046,<0.5%,4,48,42,3,11,Wednesday,July,3,2014,26
31,10653,FRANK,1,2014-09-02,2014-09-30,2014-09-19,1,93.25,16,17.45,30,0.1,Frankenversand,Peter Franken,Marketing Manager,München,Germany,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Sep-Tue,2014-Q3,2014-W35,2014-Sep,11,471.14999771118164,19.792,<0.7%,2,11,23,3,9,Tuesday,September,3,2014,35
32,10671,FRANR,1,2014-09-17,2014-10-15,2014-09-24,1,30.34,16,17.45,10,0.0,France Restauration,Carine Schmitt,Marketing Manager,Nantes,France,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Sep-Wed,2014-Q3,2014-W37,2014-Sep,21,174.50000762939453,17.387,<0.3%,5,68,23,3,55,Wednesday,September,3,2014,37
33,1068,OLDWO,1,2014-09-24,2014-10-22,2014-09-26,1,26.61,16,17.45,50,0.25,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,USA,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Sep-Wed,2014-Q3,2014-W38,2014-Sep,26,654.3750286102295,4.066,<0.8%,1,29,23,3,25,Wednesday,September,3,2014,38
34,10877,RICAR,1,2015-02-09,2015-03-09,2015-02-19,1,38.06,16,17.45,30,0.25,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio de Janeiro,Brazil,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Feb-Mon,2015-Q1,2015-W06,2015-Feb,18,392.6250171661377,9.694,<0.6%,4,33,23,3,11,Monday,February,1,2015,06
35,10469,WHITC,1,2014-03-10,2014-04-07,2014-03-14,1,60.18,16,13.9,35,0.15,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Mon,2014-Q1,2014-W10,2014-Mar,24,413.5249853134155,14.553,<0.6%,1,10,23,3,13,Monday,March,1,2014,10
36,1071,FRANS,1,2014-10-20,2014-11-17,2014-10-23,1,4.98,19,9.2,5,0.0,Franchi S P A ,Paolo Accorti,Sales Representative,Torino,Italy,3,Confections,"Desserts, candies, and sweet breads",Teatime Chocolate Biscuits,10 boxes x 12 pieces,9.2,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Oct-Mon,2014-Q4,2014-W42,2014-Oct,25,45.999999046325684,10.826,<0.1%,17,80,58,3,65,Monday,October,4,2014,42
37,1085,VICTE,1,2015-01-23,2015-03-06,2015-01-30,1,49.19,25,14.0,20,0.15,Victuailles En Stock,Mary Saveley,Sales Agent,Lyon,France,3,Confections,"Desserts, candies, and sweet breads",Nunuca Nuß Nougat Creme,20 - 450 g glasses,14.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jan-Fri,2015-Q1,2015-W03,2015-Jan,35,238.0000114440918,20.668,<0.4%,5,42,67,3,36,Friday,January,1,2015,03
38,10825,DRACD,1,2015-01-09,2015-02-06,2015-01-14,1,79.25,26,31.23,12,0.0,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Aachen,Germany,3,Confections,"Desserts, candies, and sweet breads",Gumbär Gummibärchen,100 - 250 g bags,31.23,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jan-Fri,2015-Q1,2015-W01,2015-Jan,23,374.75999450683594,21.147,<0.6%,2,63,19,3,50,Friday,January,1,2015,01
39,10587,QUEDE,1,2014-07-02,2014-07-30,2014-07-09,1,62.52,26,31.23,6,0.0,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,3,Confections,"Desserts, candies, and sweet breads",Gumbär Gummibärchen,100 - 250 g bags,31.23,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Wed,2014-Q3,2014-W26,2014-Jul,21,187.37999725341797,33.365,<0.4%,4,48,19,3,11,Wednesday,July,3,2014,26
40,10713,SAVEA,1,2014-10-22,2014-11-19,2014-10-24,1,167.05,26,31.23,30,0.0,Save A Lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,3,Confections,"Desserts, candies, and sweet breads",Gumbär Gummibärchen,100 - 250 g bags,31.23,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Oct-Wed,2014-Q4,2014-W42,2014-Oct,26,936.8999862670898,17.83,<0.9%,1,3,19,3,1,Wednesday,October,4,2014,42
41,1071,FRANS,1,2014-10-20,2014-11-17,2014-10-23,1,4.98,47,9.5,5,0.0,Franchi S P A ,Paolo Accorti,Sales Representative,Torino,Italy,3,Confections,"Desserts, candies, and sweet breads",Zaanse Koeken,10 - 4 oz boxes,9.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Oct-Mon,2014-Q4,2014-W42,2014-Oct,25,47.5,10.484,<0.1%,17,80,66,3,65,Monday,October,4,2014,42
42,10928,GALED,1,2015-03-05,2015-04-02,2015-03-18,1,1.36,47,9.5,5,0.0,Galería Del Gastrónomo,Eduardo Saavedra,Marketing Manager,Barcelona,Spain,3,Confections,"Desserts, candies, and sweet breads",Zaanse Koeken,10 - 4 oz boxes,9.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Thu,2015-Q1,2015-W09,2015-Mar,15,47.5,2.863,<0.1%,16,85,66,3,67,Thursday,March,1,2015,09
43,10604,FURIB,1,2014-07-18,2014-08-15,2014-07-29,1,7.46,48,12.75,6,0.1,Furia Bacalhau E Frutos Do Mar,Lino Rodriguez,Sales Manager,Lisboa,Portugal,3,Confections,"Desserts, candies, and sweet breads",Chocolade,10 pkgs.,12.75,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Fri,2014-Q3,2014-W28,2014-Jul,17,68.84999656677246,10.835,<0.2%,18,49,77,3,33,Friday,July,3,2014,28
44,11027,BOTTM,1,2015-04-16,2015-05-14,2015-04-20,1,52.52,62,49.3,21,0.25,Bottom Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,3,Confections,"Desserts, candies, and sweet breads",Tarte Au Sucre,48 pies,49.3,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Apr-Thu,2015-Q2,2015-W15,2015-Apr,24,776.474967956543,6.764,<0.8%,9,18,4,3,29,Thursday,April,2,2015,15
45,10902,FOLKO,1,2015-02-23,2015-03-23,2015-03-03,1,44.15,62,49.3,6,0.15,Folk Och Fä Hb,Maria Larsson,Owner,Bräcke,Sweden,3,Confections,"Desserts, candies, and sweet breads",Tarte Au Sucre,48 pies,49.3,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Feb-Mon,2015-Q1,2015-W08,2015-Feb,20,251.42999267578125,17.56,<0.5%,8,8,4,3,8,Monday,February,1,2015,08
46,10671,FRANR,1,2014-09-17,2014-10-15,2014-09-24,1,30.34,62,49.3,10,0.0,France Restauration,Carine Schmitt,Marketing Manager,Nantes,France,3,Confections,"Desserts, candies, and sweet breads",Tarte Au Sucre,48 pies,49.3,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Sep-Wed,2014-Q3,2014-W37,2014-Sep,21,492.99999237060547,6.154,<0.7%,5,68,4,3,55,Wednesday,September,3,2014,37
47,10562,REGGC,1,2014-06-09,2014-07-07,2014-06-12,1,22.95,62,49.3,10,0.1,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Italy,3,Confections,"Desserts, candies, and sweet breads",Tarte Au Sucre,48 pies,49.3,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jun-Mon,2014-Q2,2014-W23,2014-Jun,25,443.69998931884766,5.172,<0.7%,17,45,4,3,47,Monday,June,2,2014,23
48,10618,MEREP,1,2014-08-01,2014-09-12,2014-08-08,1,154.68,68,12.5,15,0.0,Mère Paillarde,Jean Fresnière,Marketing Assistant,Montréal,Canada,3,Confections,"Desserts, candies, and sweet breads",Scottish Longbreads,10 boxes x 8 pieces,12.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Aug-Fri,2014-Q3,2014-W30,2014-Aug,35,187.5,82.496,<0.4%,9,9,44,3,12,Friday,August,3,2014,30
49,11064,SAVEA,1,2015-05-01,2015-05-29,2015-05-04,1,30.09,68,12.5,55,0.0,Save A Lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,3,Confections,"Desserts, candies, and sweet breads",Scottish Longbreads,10 boxes x 8 pieces,12.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,May-Fri,2015-Q2,2015-W17,2015-May,25,687.5,4.377,<0.8%,1,3,44,3,1,Friday,May,2,2015,17
50,10886,HANAR,1,2015-02-13,2015-03-13,2015-03-02,1,4.99,31,12.5,35,0.0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Feb-Fri,2015-Q1,2015-W06,2015-Feb,11,437.5,1.141,<0.7%,4,6,28,3,11,Friday,February,1,2015,06
51,10567,HUNGO,1,2014-06-12,2014-07-10,2014-06-17,1,33.97,31,12.5,60,0.2,Hungry Owl All Night Grocers,Patricia Mckenna,Sales Associate,Cork,Ireland,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jun-Thu,2014-Q2,2014-W23,2014-Jun,23,600.0,5.662,<0.8%,10,5,28,3,6,Thursday,June,2,2014,23
52,1068,OLDWO,1,2014-09-24,2014-10-22,2014-09-26,1,26.61,31,12.5,20,0.25,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,USA,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Sep-Wed,2014-Q3,2014-W38,2014-Sep,26,187.5,14.192,<0.4%,1,29,28,3,25,Wednesday,September,3,2014,38
53,10537,RICSU,1,2014-05-14,2014-05-28,2014-05-19,1,78.85,31,12.5,30,0.0,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,May-Wed,2014-Q2,2014-W19,2014-May,9,375.0,21.027,<0.6%,13,19,28,3,20,Wednesday,May,2,2014,19
54,10258,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51,32,25.6,6,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,4,Dairy Products,Cheeses,Mascarpone Fabioli,24 - 200 g pkgs.,32.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Wed,2013-Q3,2013-W28,2013-Jul,22,122.88000869750977,114.347,<0.3%,3,2,48,3,2,Wednesday,July,3,2013,28
